[1, 2, 3, 4, 5, 6, 7, 8, 9]
HBox(children=(IntProgress(value=0), HTML(value='')))

[1, 2, 3, 4, 5, 6, 7, 8, 10]
HBox(children=(IntProgress(value=0), HTML(value='')))

[1, 2, 3, 4, 5, 6, 8, 9, 10]
HBox(children=(IntProgress(value=0), HTML(value='')))

[1, 2, 3, 4, 5, 6, 7, 9, 10]
HBox(children=(IntProgress(value=0), HTML(value='')))

Epoch 1, 0% 	 ce: 2.2711 - acc: 0.1250 - took: 5.88s
Epoch 1, 0% 	 ce: 2.2763 - acc: 0.1406 - took: 5.90s
Epoch 1, 1% 	 ce: 2.2486 - acc: 0.1250 - took: 5.91s
Epoch 1, 1% 	 ce: 2.2743 - acc: 0.1406 - took: 5.93s
Epoch 1, 2% 	 ce: 2.1974 - acc: 0.1938 - took: 5.94s
Epoch 1, 2% 	 ce: 2.2618 - acc: 0.1979 - took: 8.25s
Epoch 1, 2% 	 ce: 2.2711 - acc: 0.1964 - took: 8.27s
Epoch 1, 3% 	 ce: 2.2711 - acc: 0.1953 - took: 8.83s
Epoch 1, 3% 	 ce: 2.1776 - acc: 0.1910 - took: 8.84s
Epoch 1, 4% 	 ce: 2.1252 - acc: 0.1969 - took: 8.86s
Epoch 1, 4% 	 ce: 2.0544 - acc: 0.2017 - took: 11.31s
Epoch 1, 4% 	 ce: 2.2073 - acc: 0.2057 - took: 11.32s
Epoch 1, 5% 	 ce: 2.1962 - acc: 0.2067 - took: 11.80s
Epoch 1, 5% 	 ce: 1.9986 - acc: 0.2121 - took: 11.82s
Epoch 1, 6% 	 ce: 2.1188 - acc: 0.2104 - took: 11.83s
Epoch 1, 6% 	 ce: 2.0838 - acc: 0.2090 - took: 15.93s
Epoch 1, 6% 	 ce: 1.9357 - acc: 0.2132 - took: 15.94s
Epoch 1, 7% 	 ce: 1.9681 - acc: 0.2135 - took: 16.45s
Epoch 1, 7% 	 ce: 1.7630 - acc: 0.2237 - took: 16.46s
Epoch 1, 8% 	 ce: 1.9744 - acc: 0.2250 - took: 16.47s
Epoch 1, 8% 	 ce: 2.0401 - acc: 0.2307 - took: 19.15s
Epoch 1, 8% 	 ce: 2.0108 - acc: 0.2315 - took: 19.16s
Epoch 1, 9% 	 ce: 1.9456 - acc: 0.2283 - took: 19.68s
Epoch 1, 9% 	 ce: 1.8092 - acc: 0.2370 - took: 19.70s
Epoch 1, 10% 	 ce: 1.6230 - acc: 0.2437 - took: 19.71s
Epoch 1, 10% 	 ce: 1.9753 - acc: 0.2416 - took: 22.88s
Epoch 1, 10% 	 ce: 1.8206 - acc: 0.2431 - took: 22.89s
Epoch 1, 11% 	 ce: 1.7891 - acc: 0.2478 - took: 23.41s
Epoch 1, 11% 	 ce: 1.9826 - acc: 0.2500 - took: 23.42s
Epoch 1, 12% 	 ce: 1.9435 - acc: 0.2479 - took: 23.43s
Epoch 1, 12% 	 ce: 1.6313 - acc: 0.2540 - took: 27.34s
Epoch 1, 12% 	 ce: 1.9626 - acc: 0.2529 - took: 27.36s
Epoch 1, 13% 	 ce: 1.8289 - acc: 0.2538 - took: 27.89s
Epoch 1, 13% 	 ce: 1.7306 - acc: 0.2601 - took: 27.89s
Epoch 1, 14% 	 ce: 1.7545 - acc: 0.2625 - took: 27.91s
Epoch 1, 14% 	 ce: 1.9637 - acc: 0.2630 - took: 31.38s
Epoch 1, 14% 	 ce: 1.8135 - acc: 0.2660 - took: 31.39s
Epoch 1, 15% 	 ce: 1.8628 - acc: 0.2656 - took: 31.95s
Epoch 1, 15% 	 ce: 1.8217 - acc: 0.2692 - took: 31.96s
Epoch 1, 16% 	 ce: 1.5713 - acc: 0.2734 - took: 31.97s
Epoch 1, 16% 	 ce: 1.6725 - acc: 0.2767 - took: 35.54s
Epoch 1, 17% 	 ce: 1.5742 - acc: 0.2760 - took: 35.55s
Epoch 1, 17% 	 ce: 1.7840 - acc: 0.2747 - took: 36.13s
Epoch 1, 17% 	 ce: 1.7636 - acc: 0.2756 - took: 36.15s
Epoch 1, 18% 	 ce: 1.6432 - acc: 0.2771 - took: 36.16s
Epoch 1, 18% 	 ce: 1.6135 - acc: 0.2792 - took: 39.21s
Epoch 1, 19% 	 ce: 1.4360 - acc: 0.2819 - took: 39.22s
Epoch 1, 19% 	 ce: 1.5005 - acc: 0.2858 - took: 39.80s
Epoch 1, 19% 	 ce: 1.5455 - acc: 0.2876 - took: 39.81s
Epoch 1, 20% 	 ce: 1.6918 - acc: 0.2881 - took: 39.82s
Epoch 1, 20% 	 ce: 2.0405 - acc: 0.2892 - took: 42.29s
Epoch 1, 21% 	 ce: 1.7867 - acc: 0.2897 - took: 42.31s
Epoch 1, 21% 	 ce: 1.6302 - acc: 0.2913 - took: 42.83s
Epoch 1, 21% 	 ce: 1.8641 - acc: 0.2899 - took: 42.84s
Epoch 1, 22% 	 ce: 1.9408 - acc: 0.2886 - took: 42.86s
Epoch 1, 22% 	 ce: 1.8339 - acc: 0.2874 - took: 46.46s
Epoch 1, 23% 	 ce: 1.7930 - acc: 0.2884 - took: 46.47s
Epoch 1, 23% 	 ce: 1.7867 - acc: 0.2872 - took: 47.01s
Epoch 1, 23% 	 ce: 1.8889 - acc: 0.2865 - took: 47.02s
Epoch 1, 24% 	 ce: 1.9085 - acc: 0.2865 - took: 47.04s
Epoch 1, 24% 	 ce: 1.6291 - acc: 0.2874 - took: 50.48s
Epoch 1, 25% 	 ce: 1.5617 - acc: 0.2918 - took: 50.49s
Epoch 1, 25% 	 ce: 1.5663 - acc: 0.2951 - took: 51.03s
Epoch 1, 25% 	 ce: 1.6629 - acc: 0.2959 - took: 51.04s
Epoch 1, 26% 	 ce: 1.7305 - acc: 0.2971 - took: 51.05s
Epoch 1, 26% 	 ce: 1.3143 - acc: 0.3002 - took: 54.56s
Epoch 1, 27% 	 ce: 1.3913 - acc: 0.3027 - took: 54.57s
Epoch 1, 27% 	 ce: 1.5146 - acc: 0.3033 - took: 55.02s
Epoch 1, 27% 	 ce: 1.6801 - acc: 0.3030 - took: 55.03s
Epoch 1, 28% 	 ce: 1.6430 - acc: 0.3054 - took: 55.04s
Epoch 1, 28% 	 ce: 1.6704 - acc: 0.3050 - took: 58.17s
Epoch 1, 29% 	 ce: 1.6029 - acc: 0.3069 - took: 58.18s
Epoch 1, 29% 	 ce: 1.4795 - acc: 0.3099 - took: 58.70s
Epoch 1, 29% 	 ce: 1.7995 - acc: 0.3117 - took: 58.71s
Epoch 1, 30% 	 ce: 1.5684 - acc: 0.3125 - took: 58.73s
Epoch 1, 30% 	 ce: 1.5952 - acc: 0.3141 - took: 61.25s
Epoch 1, 31% 	 ce: 1.4855 - acc: 0.3137 - took: 61.27s
Epoch 1, 31% 	 ce: 1.4322 - acc: 0.3157 - took: 61.78s
Epoch 1, 31% 	 ce: 1.5843 - acc: 0.3165 - took: 61.79s
Epoch 1, 32% 	 ce: 1.6242 - acc: 0.3168 - took: 61.80s
Epoch 1, 32% 	 ce: 1.5878 - acc: 0.3187 - took: 65.12s
Epoch 1, 33% 	 ce: 1.4579 - acc: 0.3213 - took: 65.13s
Epoch 1, 33% 	 ce: 1.5985 - acc: 0.3215 - took: 65.63s
Epoch 1, 34% 	 ce: 1.7090 - acc: 0.3225 - took: 65.64s
Epoch 1, 34% 	 ce: 1.4937 - acc: 0.3243 - took: 65.65s
Epoch 1, 34% 	 ce: 1.5086 - acc: 0.3259 - took: 68.95s
Epoch 1, 35% 	 ce: 1.6306 - acc: 0.3272 - took: 68.96s
Epoch 1, 35% 	 ce: 1.6956 - acc: 0.3281 - took: 69.51s
Epoch 1, 36% 	 ce: 1.5652 - acc: 0.3283 - took: 69.52s
Epoch 1, 36% 	 ce: 1.7444 - acc: 0.3285 - took: 69.54s
Epoch 1, 36% 	 ce: 1.5050 - acc: 0.3300 - took: 72.91s
Epoch 1, 37% 	 ce: 1.3751 - acc: 0.3315 - took: 72.91s
Epoch 1, 37% 	 ce: 1.3375 - acc: 0.3333 - took: 73.37s
Epoch 1, 38% 	 ce: 1.3999 - acc: 0.3344 - took: 73.38s
Epoch 1, 38% 	 ce: 1.6034 - acc: 0.3349 - took: 73.39s
Epoch 1, 38% 	 ce: 1.7186 - acc: 0.3353 - took: 76.87s
Epoch 1, 39% 	 ce: 1.7415 - acc: 0.3357 - took: 76.89s
Epoch 1, 39% 	 ce: 1.8855 - acc: 0.3345 - took: 77.44s
Epoch 1, 40% 	 ce: 1.6108 - acc: 0.3349 - took: 77.44s
Epoch 1, 40% 	 ce: 1.4761 - acc: 0.3356 - took: 77.45s
Epoch 1, 40% 	 ce: 1.7123 - acc: 0.3363 - took: 80.47s
Epoch 1, 41% 	 ce: 1.5526 - acc: 0.3376 - took: 80.49s
Epoch 1, 41% 	 ce: 1.4036 - acc: 0.3386 - took: 81.02s
Epoch 1, 42% 	 ce: 1.6394 - acc: 0.3389 - took: 81.03s
Epoch 1, 42% 	 ce: 1.2793 - acc: 0.3408 - took: 81.04s
Epoch 1, 42% 	 ce: 1.3285 - acc: 0.3417 - took: 83.76s
Epoch 1, 43% 	 ce: 1.4164 - acc: 0.3420 - took: 83.77s
Epoch 1, 43% 	 ce: 1.3643 - acc: 0.3432 - took: 84.30s
Epoch 1, 44% 	 ce: 1.7065 - acc: 0.3443 - took: 84.30s
Epoch 1, 44% 	 ce: 1.2456 - acc: 0.3466 - took: 84.31s
Epoch 1, 44% 	 ce: 1.9823 - acc: 0.3466 - took: 87.76s
Epoch 1, 45% 	 ce: 1.5030 - acc: 0.3477 - took: 87.77s
Epoch 1, 45% 	 ce: 1.2443 - acc: 0.3493 - took: 88.35s
Epoch 1, 46% 	 ce: 1.9167 - acc: 0.3490 - took: 88.36s
Epoch 1, 46% 	 ce: 1.5016 - acc: 0.3497 - took: 88.37s
Epoch 1, 46% 	 ce: 1.3406 - acc: 0.3518 - took: 92.42s
Epoch 1, 47% 	 ce: 1.3850 - acc: 0.3531 - took: 92.43s
Epoch 1, 47% 	 ce: 1.3125 - acc: 0.3549 - took: 93.04s
